Water Pump ID,Distance to Nearest Town,Population Served,Installation Year,Water Pump Age,GPS Coordinates,Functioning Status,Water Source Type_['Borehole'],Water Source Type_['Lake'],Water Source Type_['River'],Water Source Type_['Well'],Water Quality_['Clean'],Water Quality_['Contaminated'],Funder_['Oxfam'],Funder_['Red Cross'],Funder_['UNICEF'],Funder_['USAID'],Funder_['World Bank'],Payment Type_['Free'],Payment Type_['Pay per use'],Pump Type_['Hand Pump'],Pump Type_['Motorized Pump'],Pump Type_['Solar Pump']
4042,0.4569165860572713,0.7354814577914799,-0.48328660207039437,0.4832866020703996,"(-17.556487723927166, 21.31146809434315)",1,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False
11,0.166841993491645,1.1037286629533123,-0.9371616045811417,0.937161604581147,"(-23.244708545216877, 24.47718216747939)",0,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
12,1.0370657711885238,-0.3692601576940171,1.6726196598556555,-1.6726196598556504,"(-21.904706152151736, 24.020582917441978)",0,False,False,True,False,True,False,False,False,False,False,True,False,True,True,False,False
13,-1.5010869137607064,-0.0010129525321847855,-0.3698178514427075,0.36981785144271273,"(-22.625981294306015, 22.841135521399192)",1,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
14,-1.2835309693364865,-0.0010129525321847855,-0.5967553526980812,0.5967553526980864,"(-23.68166266658505, 24.979357541468474)",1,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False
15,-1.7911615063263326,-1.474001773179514,-0.5967553526980812,0.5967553526980864,"(-22.55156627950057, 27.521030187023456)",0,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
16,0.23936064163305157,-1.1057545680176817,0.5379321535787872,-0.537932153578782,"(-20.86588366558496, 25.930669037852343)",0,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
17,-0.9934563767708603,0.36723425262964754,-0.710224103325768,0.7102241033257732,"(-19.726190762153536, 25.318744694092203)",1,False,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False
18,0.38439793791586474,-1.1057545680176817,1.6726196598556555,-1.6726196598556504,"(-19.007223392678355, 28.270851647820642)",1,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False
19,-0.9934563767708603,-0.0010129525321847855,-1.504505357719576,1.504505357719581,"(-18.144953707965417, 19.52765169285348)",0,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True
20,0.4569165860572713,0.7354814577914799,-1.6179741083472627,1.617974108347268,"(-20.754505105156277, 28.207747124318132)",0,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False
21,-0.6308631360638274,-0.0010129525321847855,1.5591509092279687,-1.5591509092279636,"(-22.353556381134517, 27.76492955449651)",1,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False
22,0.09432334535023841,0.7354814577914799,1.445682158600282,-1.4456821586002766,"(-21.71190642446578, 23.77932456788148)",1,False,True,False,False,False,True,False,False,True,False,False,True,False,True,False,False
23,0.8195098267643042,-0.0010129525321847855,0.42446340295110035,-0.42446340295109514,"(-21.898102357565662, 22.081943891700917)",1,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
24,-1.4285682656192997,1.1037286629533123,-0.3698178514427075,0.36981785144271273,"(-18.274611411883445, 20.171606578284607)",1,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False
25,0.4569165860572713,2.208470278438809,1.445682158600282,-1.4456821586002766,"(-22.170036974712055, 19.492469615687227)",1,False,False,False,True,True,False,False,False,True,False,False,False,True,False,False,True
26,-0.9209377286294537,-0.0010129525321847855,-0.14288035018733383,0.14288035018733908,"(-19.4586326211026, 20.4027568622838)",0,True,False,False,False,True,False,False,False,False,True,False,True,False,False,True,False
27,0.23936064163305157,0.7354814577914799,-0.3698178514427075,0.36981785144271273,"(-20.585925615930584, 23.24967708300437)",1,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
28,-0.5583444879224208,-1.1057545680176817,-0.25634910081502066,0.25634910081502593,"(-18.598794114370264, 23.571884603975796)",1,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False
29,0.8195098267643042,-0.0010129525321847855,-1.3910366070918891,1.3910366070918943,"(-18.83139036570068, 28.80310013321604)",1,False,True,False,False,True,False,False,False,False,False,True,True,False,False,False,True
30,1.1095844193299305,-0.7375073628558495,-1.1640991058365153,1.1640991058365207,"(-20.942610437148627, 27.410503031347403)",1,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False
31,-1.5736055619021128,0.7354814577914799,-0.8236928539534549,0.8236928539534601,"(-22.969282926280677, 27.259027633465518)",1,False,True,False,False,True,False,True,False,False,False,False,True,False,True,False,False
32,-0.1957512472153879,-1.1057545680176817,0.3109946523234135,-0.3109946523234083,"(-19.756794525768488, 22.373291309596063)",1,True,False,False,False,True,False,True,False,False,False,False,True,False,False,True,False
33,0.5294352341986779,-0.0010129525321847855,-0.48328660207039437,0.4832866020703996,"(-17.95165353068535, 19.063064541845854)",1,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
34,-0.26826989535679446,-0.3692601576940171,-0.3698178514427075,0.36981785144271273,"(-18.635886294859926, 20.91616817485586)",0,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
35,0.09432334535023841,-0.0010129525321847855,-0.5967553526980812,0.5967553526980864,"(-22.031425437923396, 26.427325987715058)",1,False,False,True,False,False,True,False,False,False,True,False,True,False,True,False,False
36,0.31187928977445817,-1.474001773179514,0.8783384054618477,-0.8783384054618425,"(-19.91799787251017, 22.952487941876377)",0,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
37,1.3996590118955567,-0.7375073628558495,0.651400904206474,-0.6514009042064688,"(-19.13626604479665, 28.121968241955592)",0,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False
38,-0.4858258397810142,-0.7375073628558495,1.6726196598556555,-1.6726196598556504,"(-22.08804710783374, 20.26506852695968)",0,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False
39,-1.21101232119508,-0.0010129525321847855,-0.8236928539534549,0.8236928539534601,"(-18.272211839458976, 28.320453175623594)",1,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
40,-0.7033817842052339,-0.7375073628558495,0.3109946523234135,-0.3109946523234083,"(-20.714824274105844, 19.31704001438362)",0,True,False,False,False,True,False,True,False,False,False,False,True,False,True,False,False
41,0.5294352341986779,-0.0010129525321847855,-0.710224103325768,0.7102241033257732,"(-23.225678435616796, 24.20758366115798)",0,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
42,-0.05071395093257474,-0.0010129525321847855,0.7648696548341609,-0.7648696548341556,"(-22.50122786559782, 28.75428297266725)",0,True,False,False,False,True,False,False,False,False,False,True,False,True,True,False,False
43,-0.05071395093257474,0.7354814577914799,-0.14288035018733383,0.14288035018733908,"(-18.7185560611654, 23.871248557687167)",0,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False
44,0.166841993491645,-0.7375073628558495,-1.1640991058365153,1.1640991058365207,"(-20.979653522072553, 21.524662757812223)",0,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
45,1.3271403637541501,-0.3692601576940171,-0.5967553526980812,0.5967553526980864,"(-21.367198135562994, 26.668468465010207)",0,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
46,-1.1384936730536734,-0.0010129525321847855,-0.8236928539534549,0.8236928539534601,"(-19.385825957449626, 21.849317957165976)",1,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False
47,0.9645471230471173,0.36723425262964754,0.8783384054618477,-0.8783384054618425,"(-19.795579437396505, 24.90211990619652)",0,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
48,0.23936064163305157,0.7354814577914799,0.7648696548341609,-0.7648696548341556,"(-19.75212963584581, 23.345140916821006)",1,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False
49,1.2546217156127437,-0.0010129525321847855,0.651400904206474,-0.6514009042064688,"(-23.82747504851906, 20.57202060103984)",0,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False
4043,0.6019538823400844,-1.1057545680176817,-0.029411599559647,0.029411599559652238,"(-20.33779030752508, 21.546860303107433)",1,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
50,1.0370657711885238,0.36723425262964754,-0.8236928539534549,0.8236928539534601,"(-22.440254510756635, 27.57395070256735)",1,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False
51,-1.0659750249122668,-1.474001773179514,1.2187446573449083,-1.218744657344903,"(-22.258388098098592, 24.265963391919954)",0,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False
52,1.7622522526025897,-0.7375073628558495,-0.8236928539534549,0.8236928539534601,"(-23.235444510886747, 19.209372519941166)",0,False,False,False,True,True,False,False,False,False,False,True,True,False,False,False,True
53,-1.0659750249122668,0.7354814577914799,1.3322134079725951,-1.3322134079725898,"(-20.27905821384431, 20.977117573934922)",0,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False
54,-0.9209377286294537,-0.0010129525321847855,0.3109946523234135,-0.3109946523234083,"(-20.191859453263227, 26.836301873136286)",0,False,False,True,False,False,True,False,False,False,True,False,True,False,False,True,False
55,0.674472530481491,-0.3692601576940171,1.3322134079725951,-1.3322134079725898,"(-23.071803558683907, 23.419444261031312)",1,False,False,False,True,True,False,False,False,True,False,False,True,False,True,False,False
56,-0.4133071916396076,-0.7375073628558495,1.6726196598556555,-1.6726196598556504,"(-19.97723026234513, 20.912015974962753)",0,False,False,True,False,True,False,True,False,False,False,False,True,False,True,False,False
57,-1.5010869137607064,-0.0010129525321847855,0.5379321535787872,-0.537932153578782,"(-22.17976661653731, 23.135852864442096)",1,False,False,True,False,True,False,False,True,False,False,False,True,False,True,False,False
58,0.8195098267643042,-0.0010129525321847855,-0.029411599559647,0.029411599559652238,"(-18.874309184410546, 23.15804397559212)",1,True,False,False,False,True,False,False,False,True,False,False,True,False,True,False,False
59,0.7469911786228977,-0.0010129525321847855,-0.14288035018733383,0.14288035018733908,"(-20.530475964989407, 22.787973297999635)",1,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
60,0.8920284749057108,1.8402230732769769,-0.029411599559647,0.029411599559652238,"(-19.03802362751749, 26.647245396400322)",1,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False
61,1.0370657711885238,0.36723425262964754,-0.48328660207039437,0.4832866020703996,"(-21.39011470293928, 28.82525826374181)",1,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False
62,0.6019538823400844,0.7354814577914799,1.445682158600282,-1.4456821586002766,"(-23.51553977852897, 28.482987016556645)",0,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False
63,-0.9209377286294537,2.5767174836006417,1.3322134079725951,-1.3322134079725898,"(-23.50463280500249, 27.229767246513006)",0,False,False,True,False,True,False,False,False,False,False,True,True,False,False,True,False
64,0.09432334535023841,-0.3692601576940171,-0.25634910081502066,0.25634910081502593,"(-18.881487937701202, 26.793309985022027)",1,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
65,-1.4285682656192997,0.7354814577914799,-1.1640991058365153,1.1640991058365207,"(-19.908216911136417, 24.75663076094434)",0,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
66,-1.5010869137607064,-1.474001773179514,-0.3698178514427075,0.36981785144271273,"(-21.143165198761103, 27.69054285194558)",0,False,True,False,False,True,False,False,False,False,False,True,True,False,True,False,False
67,-0.7759004323466405,-0.0010129525321847855,0.08405715106803985,-0.0840571510680346,"(-19.800521181308657, 24.803270562216323)",1,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False
68,0.5294352341986779,1.1037286629533123,-0.5967553526980812,0.5967553526980864,"(-22.395068830523293, 22.96931881939131)",0,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False
69,-1.718642858184926,-0.0010129525321847855,-1.3910366070918891,1.3910366070918943,"(-18.81864236815531, 21.98994052299143)",1,True,False,False,False,False,True,False,False,False,False,True,True,False,True,False,False
70,2.052326845168216,-1.1057545680176817,0.8783384054618477,-0.8783384054618425,"(-20.17676984222878, 27.616434684978152)",1,True,False,False,False,False,True,False,False,False,False,True,True,False,False,True,False
71,0.09432334535023841,-0.7375073628558495,-1.3910366070918891,1.3910366070918943,"(-19.20736501312525, 24.42175486938097)",1,False,False,False,True,False,True,False,False,False,True,False,True,False,False,True,False
72,2.269882789592436,-0.0010129525321847855,-1.6179741083472627,1.617974108347268,"(-21.344865049319807, 21.9439687642055)",1,False,False,False,True,True,False,False,True,False,False,False,False,True,True,False,False
73,-0.848419080488047,-1.1057545680176817,0.7648696548341609,-0.7648696548341556,"(-21.930476125988193, 24.15163725618441)",1,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False
74,-1.5010869137607064,-0.0010129525321847855,-0.029411599559647,0.029411599559652238,"(-23.24850480109058, 20.6305072499714)",1,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False
75,0.166841993491645,-0.7375073628558495,-0.029411599559647,0.029411599559652238,"(-21.24905983726253, 22.56630118076447)",1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
76,-0.9209377286294537,-0.0010129525321847855,-0.48328660207039437,0.4832866020703996,"(-23.721406537542162, 26.679371780422688)",0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,True,False
77,0.674472530481491,-1.1057545680176817,1.6726196598556555,-1.6726196598556504,"(-19.08093024029639, 26.171147229197175)",1,False,True,False,False,False,True,False,False,False,False,True,True,False,True,False,False
78,-0.848419080488047,1.1037286629533123,0.651400904206474,-0.6514009042064688,"(-18.06753210610035, 25.699936293439293)",1,False,False,True,False,True,False,False,False,False,True,False,False,True,True,False,False
79,0.09432334535023841,1.4719758681151445,0.3109946523234135,-0.3109946523234083,"(-18.48427805458516, 26.478544321591773)",0,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False
80,0.166841993491645,-0.0010129525321847855,-0.14288035018733383,0.14288035018733908,"(-17.509654674227647, 22.36676397335176)",0,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
81,0.4569165860572713,1.4719758681151445,-0.710224103325768,0.7102241033257732,"(-20.053782416729565, 24.350742484614855)",0,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
82,0.9645471230471173,-0.3692601576940171,-0.710224103325768,0.7102241033257732,"(-19.14545435302218, 28.114097409579276)",0,False,False,False,True,False,True,False,False,True,False,False,True,False,False,True,False
83,-0.05071395093257474,1.1037286629533123,-1.1640991058365153,1.1640991058365207,"(-23.800249130681177, 27.121867156811746)",0,False,False,False,True,True,False,False,False,False,False,True,False,True,True,False,False
84,0.6019538823400844,0.7354814577914799,0.8783384054618477,-0.8783384054618425,"(-23.495495010250096, 28.691165344678204)",1,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False
85,-0.05071395093257474,-1.1057545680176817,0.3109946523234135,-0.3109946523234083,"(-22.852195606444692, 26.95320896864308)",1,False,False,False,True,False,True,False,False,False,False,True,True,False,False,True,False
86,-0.4858258397810142,0.7354814577914799,0.8783384054618477,-0.8783384054618425,"(-21.99083083467275, 21.815851071011423)",0,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False
87,0.166841993491645,-0.3692601576940171,0.08405715106803985,-0.0840571510680346,"(-23.98331597419137, 26.548410745826114)",0,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
88,-1.718642858184926,1.4719758681151445,-0.25634910081502066,0.25634910081502593,"(-20.182522888263787, 26.822979382134317)",0,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False
89,0.4569165860572713,-1.8422489783413465,-0.48328660207039437,0.4832866020703996,"(-23.274635527612, 24.96764901680587)",0,False,False,False,True,False,True,False,False,False,True,False,True,False,True,False,False
90,-1.718642858184926,0.36723425262964754,1.2187446573449083,-1.218744657344903,"(-21.117689210524393, 22.403479521601316)",1,False,True,False,False,True,False,False,False,False,True,False,True,False,True,False,False
91,-1.7911615063263326,-1.474001773179514,1.3322134079725951,-1.3322134079725898,"(-20.66852963441967, 28.927714485195533)",0,True,False,False,False,True,False,False,False,False,False,True,True,False,False,True,False
92,-1.9361988026091457,-0.0010129525321847855,-0.25634910081502066,0.25634910081502593,"(-22.93518015501476, 20.86335381220178)",1,False,False,False,True,False,True,False,False,False,False,True,False,True,True,False,False
101,1.182103067471337,0.7354814577914799,-0.9371616045811417,0.937161604581147,"(-22.000182579478405, 22.376114222354623)",1,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False
112,0.4569165860572713,-1.1057545680176817,0.08405715106803985,-0.0840571510680346,"(-19.163871251044334, 23.03204011592011)",0,True,False,False,False,False,True,False,False,False,True,False,True,False,True,False,False
130,0.23936064163305157,0.36723425262964754,-0.25634910081502066,0.25634910081502593,"(-22.754483532149496, 27.514709808700793)",1,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
140,-0.12323259907398132,-0.0010129525321847855,-0.029411599559647,0.029411599559652238,"(-19.411338000858827, 23.705080854149145)",0,False,True,False,False,False,True,False,False,False,True,False,True,False,False,False,True
151,1.2546217156127437,2.944964688762474,0.651400904206474,-0.6514009042064688,"(-20.74453249125507, 20.98888825250024)",0,True,False,False,False,False,True,False,True,False,False,False,True,False,True,False,False
162,0.8195098267643042,-2.578743388665011,0.08405715106803985,-0.0840571510680346,"(-23.01979937391281, 21.659518377884233)",1,False,False,True,False,False,True,False,False,False,True,False,False,True,True,False,False
173,0.09432334535023841,0.7354814577914799,0.3109946523234135,-0.3109946523234083,"(-19.955034959033824, 23.615491052670237)",1,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
180,-0.7759004323466405,0.36723425262964754,-0.3698178514427075,0.36981785144271273,"(-20.23141096905116, 24.519186545229935)",0,False,False,True,False,True,False,False,False,True,False,False,True,False,True,False,False
190,-1.6461242100435194,1.4719758681151445,1.3322134079725951,-1.3322134079725898,"(-19.547068158208724, 25.05984125601575)",1,False,False,False,True,True,False,False,False,False,True,False,False,True,True,False,False
210,0.021804697208831835,1.4719758681151445,0.3109946523234135,-0.3109946523234083,"(-23.125475172381933, 23.390790201876303)",1,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
217,-1.5010869137607064,-0.7375073628558495,-0.5967553526980812,0.5967553526980864,"(-19.099527436063163, 28.440155771005433)",0,False,True,False,False,False,True,False,False,False,True,False,True,False,True,False,False
227,-1.21101232119508,-0.0010129525321847855,-1.0506303552088285,1.0506303552088339,"(-18.623322396207033, 25.362546307261475)",0,False,False,True,False,True,False,False,False,False,False,True,True,False,True,False,False
237,-1.2835309693364865,1.4719758681151445,-0.14288035018733383,0.14288035018733908,"(-18.245264809435355, 23.177583285481475)",0,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
247,0.8920284749057108,-1.8422489783413465,1.1052759067172213,-1.1052759067172162,"(-21.9700626925343, 20.155303761570018)",0,False,False,True,False,True,False,False,False,True,False,False,False,True,False,True,False
258,-0.5583444879224208,-0.0010129525321847855,1.445682158600282,-1.4456821586002766,"(-22.097504750499173, 20.896396801623403)",0,False,False,False,True,True,False,True,False,False,False,False,False,True,True,False,False
268,0.09432334535023841,0.7354814577914799,-0.25634910081502066,0.25634910081502593,"(-19.89843554538133, 28.40067542807209)",1,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
277,0.166841993491645,1.4719758681151445,-0.25634910081502066,0.25634910081502593,"(-23.133801409817874, 26.161940566992232)",1,False,False,False,True,True,False,False,False,False,True,False,True,False,True,False,False
287,0.7469911786228977,-0.7375073628558495,-1.6179741083472627,1.617974108347268,"(-18.122151080058472, 21.02563734694237)",0,False,False,True,False,False,True,True,False,False,False,False,True,False,True,False,False
296,1.907289548885403,-1.474001773179514,0.3109946523234135,-0.3109946523234083,"(-18.464895170390243, 22.64031146503212)",0,True,False,False,False,False,True,False,True,False,False,False,False,True,True,False,False
314,-0.05071395093257474,-1.474001773179514,0.9918071560895345,-0.9918071560895293,"(-20.283535978510496, 28.74343338821366)",0,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
324,1.0370657711885238,-1.8422489783413465,0.9918071560895345,-0.9918071560895293,"(-19.809324765856896, 28.02174520953419)",1,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
333,1.2546217156127437,-0.0010129525321847855,0.3109946523234135,-0.3109946523234083,"(-22.071254091279453, 28.335766784346962)",1,False,False,True,False,False,True,False,False,False,False,True,False,True,True,False,False
344,0.166841993491645,0.7354814577914799,-0.8236928539534549,0.8236928539534601,"(-22.05237025532256, 21.407166833128677)",1,True,False,False,False,True,False,False,True,False,False,False,True,False,True,False,False
354,-1.5010869137607064,0.7354814577914799,-0.9371616045811417,0.937161604581147,"(-18.77872793546556, 22.652953873008308)",1,False,False,True,False,True,False,False,False,False,True,False,True,False,True,False,False
364,0.8920284749057108,-1.8422489783413465,-0.029411599559647,0.029411599559652238,"(-18.603697059902686, 28.789477866606845)",1,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False
374,-1.0659750249122668,0.36723425262964754,-1.6179741083472627,1.617974108347268,"(-19.156913491338518, 19.24114670922839)",1,False,False,True,False,True,False,False,False,True,False,False,True,False,False,True,False
383,0.9645471230471173,-1.1057545680176817,0.19752590169572667,-0.19752590169572143,"(-18.424315759320457, 20.177643990008537)",1,False,False,False,True,False,True,False,False,True,False,False,True,False,True,False,False
392,-0.7759004323466405,-0.0010129525321847855,-0.25634910081502066,0.25634910081502593,"(-18.974057047371222, 22.282793966428322)",1,True,False,False,False,False,True,True,False,False,False,False,True,False,False,True,False
401,0.6019538823400844,-2.210496183503179,0.8783384054618477,-0.8783384054618425,"(-21.90301115538464, 23.722239003062374)",0,True,False,False,False,False,True,False,False,False,True,False,False,True,True,False,False
412,-0.6308631360638274,-1.1057545680176817,1.3322134079725951,-1.3322134079725898,"(-22.554586672475555, 26.029848026913378)",0,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False
423,0.166841993491645,-0.3692601576940171,0.9918071560895345,-0.9918071560895293,"(-20.909973571947653, 23.372167858431247)",0,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
433,0.31187928977445817,1.4719758681151445,-0.48328660207039437,0.4832866020703996,"(-22.73618194789995, 20.360285511194235)",1,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
444,-0.34078854349820104,0.7354814577914799,0.3109946523234135,-0.3109946523234083,"(-19.22704460252695, 20.32409996779643)",0,False,False,False,True,False,True,True,False,False,False,False,True,False,True,False,False
455,1.689733604461183,-0.0010129525321847855,-1.7314428589749495,1.7314428589749549,"(-21.116158709663466, 22.998001022323106)",1,False,False,False,True,True,False,False,True,False,False,False,True,False,True,False,False
464,0.674472530481491,-0.3692601576940171,-0.5967553526980812,0.5967553526980864,"(-21.866444629782638, 20.06316172577725)",1,False,False,True,False,False,True,False,False,False,False,True,True,False,True,False,False
473,-1.5736055619021128,-0.3692601576940171,-1.0506303552088285,1.0506303552088339,"(-18.141131594125063, 25.375467252768132)",0,False,False,False,True,False,True,False,False,False,False,True,True,False,True,False,False
4044,-1.1384936730536734,0.7354814577914799,-0.3698178514427075,0.36981785144271273,"(-21.442106912542112, 26.57015791902018)",0,False,False,False,True,True,False,True,False,False,False,False,False,True,False,True,False
492,-0.26826989535679446,-1.474001773179514,-1.1640991058365153,1.1640991058365207,"(-22.057855204274386, 24.1775777050576)",0,False,False,True,False,True,False,True,False,False,False,False,True,False,False,True,False
503,-0.9209377286294537,-0.3692601576940171,0.19752590169572667,-0.19752590169572143,"(-18.560930500042033, 22.705943139389163)",0,True,False,False,False,False,True,True,False,False,False,False,True,False,True,False,False
523,0.38439793791586474,0.36723425262964754,1.6726196598556555,-1.6726196598556504,"(-17.883982540991553, 27.22728034652967)",1,True,False,False,False,True,False,False,False,True,False,False,False,True,True,False,False
541,0.23936064163305157,0.7354814577914799,0.5379321535787872,-0.537932153578782,"(-21.545069518021094, 25.956502863661022)",0,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
551,-0.34078854349820104,1.1037286629533123,0.9918071560895345,-0.9918071560895293,"(-19.432554753954022, 22.194200406473822)",0,False,False,True,False,False,True,False,False,False,False,True,True,False,False,True,False
562,-1.5010869137607064,0.7354814577914799,-0.029411599559647,0.029411599559652238,"(-21.87131370599742, 24.794919187788274)",1,True,False,False,False,True,False,False,False,False,False,True,True,False,True,False,False
572,1.0370657711885238,-0.3692601576940171,-0.710224103325768,0.7102241033257732,"(-19.897426689204217, 26.057402078302868)",0,False,False,True,False,True,False,False,False,False,True,False,True,False,False,True,False
582,-1.6461242100435194,-1.1057545680176817,0.7648696548341609,-0.7648696548341556,"(-23.839268453111384, 20.298090279320704)",1,False,False,False,True,True,False,False,False,False,False,True,True,False,True,False,False
590,-0.7759004323466405,-0.0010129525321847855,0.8783384054618477,-0.8783384054618425,"(-21.4720660578199, 27.222960132007568)",0,False,False,False,True,True,False,True,False,False,False,False,True,False,True,False,False
601,1.0370657711885238,0.36723425262964754,1.6726196598556555,-1.6726196598556504,"(-20.8723538662098, 21.839359963771276)",0,False,False,False,True,True,False,False,False,False,False,True,True,False,False,True,False
